transaction_id,sender_account_number,receiver_account_number,transaction_type,amount,currency,transaction_date,transaction_status,payment_mode,fee,description,geo_location_city,geo_location_region
TXN0000000032,ACC700165329405,ACC152616216469,Debit,5573.69,INR,2023-01-02 07:00:00,Success,IMPS,0.14,Utility Bill Payment,Delhi,Chennai
TXN0000000033,ACC798457707427,ACC313326720553,Credit,145.08,INR,2023-01-02 08:00:00,Failed,Debit Card,0.57,Insurance Payment,Chennai,Mumbai
TXN0000000034,ACC707960746844,ACC618866189036,Credit,2233.02,INR,2023-01-02 09:00:00,Success,UPI,0.57,Online Shopping,Delhi,Kolkata
TXN0000000035,ACC278003570462,ACC540054210799,Debit,2429.55,INR,2023-01-02 10:00:00,Failed,RTGS,0.36,Mobile Recharge,Chennai,Delhi
TXN0000000036,ACC881627073399,ACC208732995214,Debit,3780.82,INR,2023-01-02 11:00:00,Success,Debit Card,0.26,Mobile Recharge,Bangalore,Chennai
TXN0000000037,ACC326031558926,ACC105496418567,Credit,7716.86,INR,2023-01-02 12:00:00,Success,UPI,0.42,Utility Bill Payment,Mumbai,Mumbai
TXN0000000038,ACC584644474140,ACC833034016383,Credit,4010.43,INR,2023-01-02 13:00:00,Failed,IMPS,0.3,Grocery Shopping,Kolkata,Bangalore
TXN0000000039,ACC986315569559,ACC597683473375,Debit,8502.02,INR,2023-01-02 14:00:00,Success,Credit Card,0.04,Grocery Shopping,Bangalore,Delhi
TXN0000000040,ACC534670303338,ACC495508719955,Debit,455.26,INR,2023-01-02 15:00:00,Success,Debit Card,0.45,Charity Donation,Delhi,Chennai
TXN0000000041,ACC594246264896,ACC262558142518,Credit,5554.17,INR,2023-01-02 16:00:00,Failed,Credit Card,0.32,Dining,Kolkata,Mumbai
TXN0000000042,ACC960914399625,ACC705100616021,Credit,5915.35,INR,2023-01-02 17:00:00,Success,Debit Card,0.78,Online Shopping,Chennai,Chennai
TXN0000000043,ACC180677325350,ACC800636728671,Credit,8704.2,INR,2023-01-02 18:00:00,Failed,UPI,0.39,Online Shopping,Chennai,Bangalore
TXN0000000044,ACC645849153764,ACC933410874093,Debit,8038.4,INR,2023-01-02 19:00:00,Success,IMPS,0.63,Mobile Recharge,Kolkata,Delhi
TXN0000000045,ACC453688164874,ACC980357210753,Credit,4691.1,INR,2023-01-02 20:00:00,Failed,NEFT,0.64,Mobile Recharge,Kolkata,Bangalore
TXN0000000046,ACC360271528499,ACC656333898485,Debit,645.44,INR,2023-01-02 21:00:00,Success,UPI,0.64,Utility Bill Payment,Delhi,Mumbai
TXN0000000047,ACC183080269322,ACC286218307277,Credit,5216.74,INR,2023-01-02 22:00:00,Failed,Credit Card,0.92,Online Shopping,Delhi,Delhi
TXN0000000048,ACC804163362998,ACC430444720594,Debit,164.99,INR,2023-01-02 23:00:00,Success,Debit Card,0.85,Utility Bill Payment,Bangalore,Mumbai
TXN0000000049,ACC343159756351,ACC205669507364,Debit,960.93,INR,2023-01-03 00:00:00,Success,Credit Card,0.16,Mobile Recharge,Delhi,Mumbai
TXN0000000050,ACC515619251485,ACC854283309610,Debit,8172.23,INR,2023-01-03 01:00:00,Success,NEFT,0.86,Dining,Delhi,Kolkata
TXN0000000051,ACC395513845178,ACC893498517764,Debit,2132.1,INR,2023-01-03 02:00:00,Success,Credit Card,0.22,Mobile Recharge,Kolkata,Mumbai
TXN0000000052,ACC431095148318,ACC409370485976,Credit,2440.85,INR,2023-01-03 03:00:00,Failed,IMPS,0.62,Online Shopping,Delhi,Chennai
TXN0000000053,ACC825179460965,ACC562251878696,Debit,7690.69,INR,2023-01-03 04:00:00,Success,IMPS,0.12,Online Shopping,Delhi,Delhi
TXN0000000054,ACC359066913873,ACC390794834154,Credit,2482.85,INR,2023-01-03 05:00:00,Failed,Credit Card,0.08,Online Shopping,Bangalore,Bangalore
TXN0000000055,ACC986101734512,ACC422267204865,Credit,2125.09,INR,2023-01-03 06:00:00,Failed,Debit Card,0.74,Utility Bill Payment,Bangalore,Kolkata
TXN0000000056,ACC432447895833,ACC486423747006,Debit,7753.47,INR,2023-01-03 07:00:00,Success,IMPS,0.96,Online Shopping,Mumbai,Chennai
TXN0000000057,ACC756092660863,ACC698751676304,Credit,6681.75,INR,2023-01-03 08:00:00,Success,RTGS,0.49,Mobile Recharge,Bangalore,Bangalore
TXN0000000058,ACC614309967141,ACC465834176864,Credit,2595.31,INR,2023-01-03 09:00:00,Success,UPI,0.63,Charity Donation,Chennai,Bangalore
TXN0000000059,ACC644260318089,ACC235366646621,Debit,4345.94,INR,2023-01-03 10:00:00,Failed,IMPS,0.89,Dining,Bangalore,Chennai
TXN0000000060,ACC259373195831,ACC746517501275,Credit,6065.08,INR,2023-01-03 11:00:00,Failed,RTGS,0.99,Charity Donation,Chennai,Chennai
TXN0000000061,ACC292866816429,ACC375010416620,Debit,1969.87,INR,2023-01-03 12:00:00,Failed,Credit Card,0.62,Utility Bill Payment,Bangalore,Chennai
TXN0000000062,ACC540513569112,ACC580533137119,Credit,8552.73,INR,2023-01-03 13:00:00,Success,Credit Card,0.02,Insurance Payment,Delhi,Mumbai
TXN0000000063,ACC986504067414,ACC499484814391,Debit,9284.66,INR,2023-01-03 14:00:00,Failed,UPI,0.63,Charity Donation,Chennai,Kolkata
TXN0000000064,ACC403907525663,ACC238771379701,Credit,5664.69,INR,2023-01-03 15:00:00,Failed,UPI,0.3,Grocery Shopping,Bangalore,Delhi
TXN0000000065,ACC338046720323,ACC566487233538,Debit,7539.73,INR,2023-01-03 16:00:00,Failed,UPI,0.9,Utility Bill Payment,Kolkata,Delhi
TXN0000000066,ACC417456192940,ACC549474933510,Credit,6383.43,INR,2023-01-03 17:00:00,Failed,UPI,0.2,Mobile Recharge,Bangalore,Chennai
TXN0000000067,ACC301725949710,ACC717844209081,Debit,8292.67,INR,2023-01-03 18:00:00,Failed,RTGS,0.85,Utility Bill Payment,Kolkata,Kolkata
TXN0000000068,ACC176287253243,ACC177724674857,Credit,196.53,INR,2023-01-03 19:00:00,Success,NEFT,0.65,Grocery Shopping,Delhi,Delhi
TXN0000000069,ACC106872241548,ACC526123542283,Credit,5654.21,INR,2023-01-03 20:00:00,Success,Debit Card,0.12,Mobile Recharge,Chennai,Mumbai
TXN0000000070,ACC906998258308,ACC908238745003,Credit,3936.02,INR,2023-01-03 21:00:00,Success,UPI,0.57,Mobile Recharge,Mumbai,Mumbai
TXN0000000071,ACC904623352272,ACC456943592122,Credit,1917.34,INR,2023-01-03 22:00:00,Success,Credit Card,0.31,Dining,Mumbai,Chennai
TXN0000000072,ACC827774422370,ACC569040941784,Credit,7361.1,INR,2023-01-03 23:00:00,Success,NEFT,0.83,Insurance Payment,Chennai,Mumbai
TXN0000000073,ACC578022997139,ACC169149809215,Credit,6202.95,INR,2023-01-04 00:00:00,Failed,RTGS,0.1,Charity Donation,Delhi,Bangalore
TXN0000000074,ACC701561056590,ACC960408674598,Debit,1069.31,INR,2023-01-04 01:00:00,Success,NEFT,0.68,Online Shopping,Chennai,Bangalore
TXN0000000075,ACC703723581668,ACC355025569482,Debit,6711.61,INR,2023-01-04 02:00:00,Success,UPI,0.71,Insurance Payment,Bangalore,Mumbai
TXN0000000076,ACC229761920168,ACC478348352499,Credit,6903.01,INR,2023-01-04 03:00:00,Failed,RTGS,0.57,Grocery Shopping,Kolkata,Chennai
TXN0000000077,ACC646894221093,ACC924125499726,Debit,8224.15,INR,2023-01-04 04:00:00,Success,Debit Card,0.42,Insurance Payment,Chennai,Chennai
TXN0000000078,ACC825573709609,ACC669507122107,Credit,8244.87,INR,2023-01-04 05:00:00,Failed,IMPS,0.05,Grocery Shopping,Bangalore,Bangalore
TXN0000000079,ACC884937204634,ACC294684122458,Debit,284.1,INR,2023-01-04 06:00:00,Failed,NEFT,0.91,Charity Donation,Chennai,Chennai
TXN0000000080,ACC868703696099,ACC195312330788,Credit,2996.49,INR,2023-01-04 07:00:00,Failed,RTGS,0.24,Online Shopping,Chennai,Bangalore
TXN0000000081,ACC220289006225,ACC994240085926,Credit,8883.41,INR,2023-01-04 08:00:00,Success,UPI,0.64,Grocery Shopping,Mumbai,Delhi
TXN0000000082,ACC510194401769,ACC837411125307,Credit,1535.67,INR,2023-01-04 09:00:00,Failed,Credit Card,0.89,Online Shopping,Mumbai,Mumbai
TXN0000000083,ACC298930507909,ACC548625253633,Credit,5019.5,INR,2023-01-04 10:00:00,Failed,RTGS,0.98,Online Shopping,Kolkata,Mumbai
TXN0000000084,ACC155167934849,ACC237007246175,Debit,4341.63,INR,2023-01-04 11:00:00,Failed,NEFT,0.45,Charity Donation,Chennai,Delhi
TXN0000000085,ACC743778572221,ACC615493594236,Debit,2314.94,INR,2023-01-04 12:00:00,Success,IMPS,0.2,Mobile Recharge,Bangalore,Mumbai
TXN0000000086,ACC291334068758,ACC646039164035,Credit,931.42,INR,2023-01-04 13:00:00,Failed,RTGS,0.16,Insurance Payment,Mumbai,Bangalore
TXN0000000087,ACC821010800279,ACC714791526001,Credit,3328.06,INR,2023-01-04 14:00:00,Failed,NEFT,0.45,Mobile Recharge,Chennai,Chennai
TXN0000000088,ACC475783024309,ACC923291958500,Credit,6977.76,INR,2023-01-04 15:00:00,Success,Credit Card,0.05,Utility Bill Payment,Kolkata,Kolkata
TXN0000000089,ACC906164780322,ACC752129184756,Debit,8971.36,INR,2023-01-04 16:00:00,Failed,Debit Card,0.47,Utility Bill Payment,Bangalore,Kolkata
TXN0000000090,ACC658872535002,ACC468404594226,Debit,2533.16,INR,2023-01-04 17:00:00,Failed,IMPS,0.98,Mobile Recharge,Kolkata,Delhi
TXN0000000091,ACC426062269369,ACC968826729839,Credit,2102.58,INR,2023-01-04 18:00:00,Failed,NEFT,0.23,Online Shopping,Delhi,Mumbai
TXN0000000092,ACC214314774790,ACC322619747447,Debit,2610.17,INR,2023-01-04 19:00:00,Success,UPI,0.73,Online Shopping,Kolkata,Delhi
TXN0000000093,ACC147417472261,ACC829152121539,Credit,9803.47,INR,2023-01-04 20:00:00,Failed,IMPS,0.72,Charity Donation,Bangalore,Delhi
TXN0000000094,ACC717749416067,ACC245086654229,Debit,6219.57,INR,2023-01-04 21:00:00,Failed,Debit Card,0.23,Online Shopping,Delhi,Kolkata
TXN0000000095,ACC265134241896,ACC512716919151,Credit,5820.03,INR,2023-01-04 22:00:00,Failed,RTGS,0.79,Dining,Mumbai,Delhi
TXN0000000096,ACC628772011466,ACC984224563479,Debit,5866.21,INR,2023-01-04 23:00:00,Failed,Credit Card,0.58,Utility Bill Payment,Delhi,Delhi
TXN0000000097,ACC109519365525,ACC101499273728,Credit,9179.98,INR,2023-01-05 00:00:00,Success,IMPS,0.71,Online Shopping,Bangalore,Chennai
TXN0000000098,ACC478380254780,ACC674741204520,Debit,9200.49,INR,2023-01-05 01:00:00,Failed,RTGS,0.79,Charity Donation,Chennai,Mumbai
TXN0000000099,ACC208274640561,ACC700187754996,Debit,6501.65,INR,2023-01-05 02:00:00,Success,RTGS,0.11,Mobile Recharge,Mumbai,Delhi
TXN0000000100,ACC606694373443,ACC479552029143,Debit,5918.07,INR,2023-01-05 03:00:00,Failed,UPI,0.6,Grocery Shopping,Bangalore,Kolkata
TXN0000000101,ACC170446539383,ACC493514919677,Credit,8878.31,INR,2023-01-05 04:00:00,Success,Debit Card,0.13,Charity Donation,Chennai,Delhi
TXN0000000102,ACC844731805821,ACC978459628847,Debit,1986.05,INR,2023-01-05 05:00:00,Success,UPI,0.9,Grocery Shopping,Delhi,Chennai
TXN0000000103,ACC850828912126,ACC198488657386,Credit,5139.81,INR,2023-01-05 06:00:00,Success,IMPS,0.51,Grocery Shopping,Bangalore,Kolkata
TXN0000000104,ACC582331052082,ACC606847320101,Credit,1110.79,INR,2023-01-05 07:00:00,Success,UPI,0.02,Insurance Payment,Mumbai,Bangalore
TXN0000000105,ACC128136076278,ACC148339930148,Debit,3636.83,INR,2023-01-05 08:00:00,Failed,NEFT,0.72,Grocery Shopping,Delhi,Bangalore
TXN0000000106,ACC949152831854,ACC235799794292,Debit,1010.51,INR,2023-01-05 09:00:00,Success,IMPS,0.96,Dining,Kolkata,Chennai
TXN0000000107,ACC354397820848,ACC770120997025,Debit,6462.28,INR,2023-01-05 10:00:00,Success,Debit Card,0.77,Utility Bill Payment,Bangalore,Chennai
TXN0000000108,ACC440254240040,ACC809475695283,Credit,1375.28,INR,2023-01-05 11:00:00,Failed,Debit Card,0.47,Utility Bill Payment,Delhi,Chennai
TXN0000000109,ACC254936939236,ACC656642780712,Credit,8454.33,INR,2023-01-05 12:00:00,Success,Debit Card,0.56,Mobile Recharge,Kolkata,Mumbai
TXN0000000110,ACC917521293772,ACC598500299218,Debit,7734.31,INR,2023-01-05 13:00:00,Failed,NEFT,0.51,Insurance Payment,Bangalore,Mumbai
TXN0000000111,ACC261523580648,ACC357297366684,Credit,9713.61,INR,2023-01-05 14:00:00,Success,Debit Card,0.78,Online Shopping,Delhi,Delhi
TXN0000000112,ACC228374546668,ACC726006368330,Debit,8386.79,INR,2023-01-05 15:00:00,Success,Credit Card,0.31,Grocery Shopping,Kolkata,Delhi
TXN0000000113,ACC526135124813,ACC843560546875,Debit,8344.9,INR,2023-01-05 16:00:00,Failed,IMPS,0.32,Insurance Payment,Kolkata,Kolkata
TXN0000000114,ACC769012957963,ACC271321333110,Debit,248.41,INR,2023-01-05 17:00:00,Failed,Debit Card,0.2,Mobile Recharge,Bangalore,Bangalore
TXN0000000115,ACC704047819196,ACC835378718693,Credit,3427.13,INR,2023-01-05 18:00:00,Failed,UPI,0.86,Mobile Recharge,Delhi,Kolkata
TXN0000000116,ACC931299150856,ACC465295783269,Debit,6280.41,INR,2023-01-05 19:00:00,Failed,RTGS,0.38,Dining,Mumbai,Delhi
TXN0000000117,ACC873033747191,ACC887883892555,Debit,9108.78,INR,2023-01-05 20:00:00,Success,UPI,0.21,Insurance Payment,Mumbai,Delhi
TXN0000000118,ACC188661856464,ACC862466563569,Credit,4276.9,INR,2023-01-05 21:00:00,Failed,IMPS,0.2,Insurance Payment,Bangalore,Chennai
TXN0000000119,ACC452961935900,ACC647474296660,Credit,4878.68,INR,2023-01-05 22:00:00,Success,IMPS,0.02,Utility Bill Payment,Delhi,Bangalore
TXN0000000120,ACC337312445197,ACC159396665366,Credit,5506.69,INR,2023-01-05 23:00:00,Success,RTGS,0.59,Insurance Payment,Kolkata,Chennai
TXN0000000121,ACC974384281988,ACC103196742190,Debit,7185.11,INR,2023-01-06 00:00:00,Success,NEFT,0.18,Dining,Kolkata,Bangalore
TXN0000000122,ACC388432887825,ACC782855682906,Debit,2830.13,INR,2023-01-06 01:00:00,Failed,NEFT,0.21,Dining,Bangalore,Delhi
TXN0000000123,ACC140486891799,ACC674668946955,Debit,62.41,INR,2023-01-06 02:00:00,Failed,Credit Card,0.44,Online Shopping,Mumbai,Mumbai
TXN0000000124,ACC907117081577,ACC550855522474,Debit,5462.17,INR,2023-01-06 03:00:00,Failed,Credit Card,0.34,Charity Donation,Chennai,Chennai
TXN0000000125,ACC822437251798,ACC293700357314,Debit,2190.97,INR,2023-01-06 04:00:00,Failed,RTGS,0.44,Utility Bill Payment,Kolkata,Delhi
TXN0000000126,ACC899513327031,ACC368656502038,Credit,1891.88,INR,2023-01-06 05:00:00,Success,UPI,0.3,Charity Donation,Mumbai,Bangalore
TXN0000000127,ACC968461317753,ACC823930938666,Credit,8870.25,INR,2023-01-06 06:00:00,Success,IMPS,0.47,Insurance Payment,Chennai,Delhi
TXN0000000128,ACC384899315144,ACC878557296349,Credit,3645.72,INR,2023-01-06 07:00:00,Success,Debit Card,0.17,Dining,Mumbai,Bangalore
TXN0000000129,ACC720852619244,ACC901958811130,Credit,8880.36,INR,2023-01-06 08:00:00,Failed,Debit Card,0.8,Grocery Shopping,Bangalore,Delhi
TXN0000000130,ACC433780125109,ACC715895482744,Debit,8563.64,INR,2023-01-06 09:00:00,Failed,Credit Card,0.01,Dining,Chennai,Delhi
TXN0000000131,ACC590509039598,ACC654668633578,Debit,7917.94,INR,2023-01-06 10:00:00,Failed,RTGS,0.72,Charity Donation,Mumbai,Mumbai
TXN0000000132,ACC788568029753,ACC580895651176,Credit,7629.91,INR,2023-01-06 11:00:00,Failed,NEFT,0.02,Insurance Payment,Kolkata,Bangalore
TXN0000000133,ACC907996480133,ACC226800670580,Debit,2762.24,INR,2023-01-06 12:00:00,Failed,Debit Card,0.61,Mobile Recharge,Mumbai,Mumbai
TXN0000000134,ACC608545905261,ACC806169019503,Debit,3550.54,INR,2023-01-06 13:00:00,Success,RTGS,0.41,Dining,Chennai,Bangalore
TXN0000000135,ACC656773350903,ACC301376748279,Debit,6464.97,INR,2023-01-06 14:00:00,Success,IMPS,0.62,Dining,Bangalore,Mumbai
TXN0000000136,ACC786479889394,ACC323410014140,Debit,3648.83,INR,2023-01-06 15:00:00,Failed,Debit Card,0.85,Charity Donation,Bangalore,Mumbai
TXN0000000137,ACC895970692297,ACC420944076868,Debit,7230.47,INR,2023-01-06 16:00:00,Success,Credit Card,0.19,Mobile Recharge,Kolkata,Chennai
TXN0000000138,ACC376184474339,ACC609789396908,Debit,5567.92,INR,2023-01-06 17:00:00,Failed,Debit Card,0.74,Charity Donation,Delhi,Bangalore
TXN0000000139,ACC708967067308,ACC274584972944,Debit,3333.3,INR,2023-01-06 18:00:00,Failed,Credit Card,0.51,Insurance Payment,Chennai,Kolkata
TXN0000000140,ACC450919508314,ACC106792636536,Debit,6205.02,INR,2023-01-06 19:00:00,Failed,UPI,0.5,Grocery Shopping,Bangalore,Delhi
TXN0000000141,ACC349815117613,ACC291980851254,Debit,6762.37,INR,2023-01-06 20:00:00,Failed,RTGS,0.07,Dining,Mumbai,Delhi
TXN0000000142,ACC823190424262,ACC366704053859,Credit,2099.43,INR,2023-01-06 21:00:00,Failed,NEFT,0.01,Online Shopping,Delhi,Bangalore
TXN0000000143,ACC229037103898,ACC229143009415,Credit,8347.34,INR,2023-01-06 22:00:00,Success,IMPS,0.47,Online Shopping,Mumbai,Delhi
TXN0000000144,ACC846437074287,ACC808112866522,Credit,6338.29,INR,2023-01-06 23:00:00,Failed,Debit Card,0.73,Grocery Shopping,Chennai,Delhi
TXN0000000145,ACC230616835714,ACC341859478232,Debit,831.66,INR,2023-01-07 00:00:00,Failed,UPI,0.02,Online Shopping,Kolkata,Chennai
TXN0000000146,ACC879532200981,ACC699890682975,Debit,4409.73,INR,2023-01-07 01:00:00,Success,NEFT,0.11,Charity Donation,Bangalore,Bangalore
TXN0000000147,ACC627057981784,ACC974919650796,Debit,7955.15,INR,2023-01-07 02:00:00,Failed,Credit Card,0.67,Grocery Shopping,Mumbai,Mumbai
TXN0000000148,ACC151329139602,ACC822196707000,Credit,8840.17,INR,2023-01-07 03:00:00,Success,UPI,0.17,Utility Bill Payment,Mumbai,Kolkata
TXN0000000149,ACC752324154360,ACC528137195092,Debit,9397.96,INR,2023-01-07 04:00:00,Success,Debit Card,0.4,Mobile Recharge,Bangalore,Kolkata
TXN0000000150,ACC734350138080,ACC357250849470,Debit,7137.11,INR,2023-01-07 05:00:00,Success,IMPS,0.91,Dining,Mumbai,Bangalore
TXN0000000151,ACC799973551529,ACC514613699434,Credit,5419.52,INR,2023-01-07 06:00:00,Success,IMPS,0.65,Utility Bill Payment,Mumbai,Bangalore
TXN0000000152,ACC958428025963,ACC918354436962,Credit,2857.23,INR,2023-01-07 07:00:00,Success,IMPS,0.2,Grocery Shopping,Chennai,Kolkata
TXN0000000153,ACC110222533244,ACC248627397447,Credit,6809.22,INR,2023-01-07 08:00:00,Failed,Debit Card,0.32,Insurance Payment,Chennai,Bangalore
TXN0000000154,ACC893595111316,ACC897810229126,Debit,3751.94,INR,2023-01-07 09:00:00,Failed,RTGS,0.84,Utility Bill Payment,Bangalore,Mumbai
TXN0000000155,ACC736055741907,ACC948773934771,Credit,7839.6,INR,2023-01-07 10:00:00,Success,Credit Card,0.14,Utility Bill Payment,Chennai,Bangalore
TXN0000000156,ACC193980197358,ACC980872298383,Credit,1187.77,INR,2023-01-07 11:00:00,Success,NEFT,0.16,Insurance Payment,Delhi,Chennai
TXN0000000157,ACC628960582472,ACC990703608276,Debit,9800.16,INR,2023-01-07 12:00:00,Failed,NEFT,0.68,Utility Bill Payment,Bangalore,Delhi
TXN0000000158,ACC656952213504,ACC319380191102,Credit,6060.02,INR,2023-01-07 13:00:00,Success,IMPS,0.3,Online Shopping,Delhi,Chennai
TXN0000000159,ACC747013862044,ACC731814208818,Credit,7559.88,INR,2023-01-07 14:00:00,Success,Credit Card,0.77,Mobile Recharge,Delhi,Bangalore
TXN0000000160,ACC622219255536,ACC825365517700,Debit,4061.62,INR,2023-01-07 15:00:00,Failed,IMPS,0.37,Online Shopping,Chennai,Kolkata
TXN0000000161,ACC956640856183,ACC771015467087,Debit,7009.88,INR,2023-01-07 16:00:00,Failed,RTGS,0.8,Online Shopping,Kolkata,Chennai
TXN0000000162,ACC306035077175,ACC179276829161,Credit,147.28,INR,2023-01-07 17:00:00,Success,Debit Card,0.35,Utility Bill Payment,Kolkata,Bangalore
TXN0000000163,ACC591269994387,ACC713072644696,Credit,9430.81,INR,2023-01-07 18:00:00,Failed,Credit Card,0.06,Insurance Payment,Chennai,Delhi
TXN0000000164,ACC187048343355,ACC330620578378,Credit,9969.76,INR,2023-01-07 19:00:00,Failed,UPI,0.59,Dining,Delhi,Chennai
TXN0000000165,ACC951110716935,ACC901045093414,Debit,880.6,INR,2023-01-07 20:00:00,Failed,Debit Card,0.92,Mobile Recharge,Bangalore,Mumbai
TXN0000000166,ACC569468124667,ACC574235816262,Debit,1114.9,INR,2023-01-07 21:00:00,Success,Debit Card,0.04,Online Shopping,Chennai,Kolkata
TXN0000000167,ACC809540112857,ACC820471450531,Debit,5679.58,INR,2023-01-07 22:00:00,Success,Credit Card,0.97,Charity Donation,Bangalore,Delhi
TXN0000000168,ACC559619848876,ACC358030876976,Credit,243.84,INR,2023-01-07 23:00:00,Success,RTGS,0.91,Dining,Delhi,Kolkata
TXN0000000169,ACC362790826833,ACC532269958330,Credit,8164.03,INR,2023-01-08 00:00:00,Success,IMPS,0.54,Mobile Recharge,Kolkata,Delhi
TXN0000000170,ACC374306112371,ACC496218202576,Debit,6136.91,INR,2023-01-08 01:00:00,Failed,Debit Card,0.17,Charity Donation,Mumbai,Bangalore
TXN0000000171,ACC912041067307,ACC910351364652,Credit,4681.73,INR,2023-01-08 02:00:00,Success,RTGS,0.6,Mobile Recharge,Bangalore,Chennai
TXN0000000172,ACC162289435258,ACC689090270474,Debit,815.69,INR,2023-01-08 03:00:00,Failed,NEFT,0.87,Grocery Shopping,Delhi,Bangalore
